Avläst elanvändning per timme;;;;;
Informationen tillhandahålls av din nätägare: Vattenfall Eldistribution AB;;;;;
;;;;;
Anläggningsadress:;Nybyn Björkö;;;;
AnläggningsID:;UPO735999100000376429;;;;
;;;;;
Tidsperiod:;1 februari 2026 - 27 februari 2026;;;;
Jämförelseperiod:;1 februari 2025 - 27 februari 2025;;;;
;;;;;
1 februari 2026 - 27 februari 2026;kWh;1 februari 2025 - 27 februari 2025;kWh;Temperatur 2026 februari - 2026 februari (°C);Temperatur 2025 februari - 2025 februari (°C)
2026-02-01 00:00;5,591;2025-02-01 00:00;3,048;−4,6;0,5
2026-02-01 01:00;4,504;2025-02-01 01:00;4,271;−4,4;0,5
2026-02-01 02:00;2,039;2025-02-01 02:00;1,92;−4,6;0,8
2026-02-01 03:00;1,96;2025-02-01 03:00;2,842;−4,7;0,7
2026-02-01 04:00;1,788;2025-02-01 04:00;2,621;−4,5;1,6
2026-02-01 05:00;4,193;2025-02-01 05:00;2,905;−4,6;1,5
2026-02-01 06:00;4,072;2025-02-01 06:00;3,364;−4,6;1,5
2026-02-01 07:00;3,227;2025-02-01 07:00;3,153;−4,4;1,7
2026-02-01 08:00;3,165;2025-02-01 08:00;3,824;−4,8;1,6
2026-02-01 09:00;4,314;2025-02-01 09:00;1,865;−4,8;1,6
2026-02-01 10:00;3,389;2025-02-01 10:00;2,496;−4,9;1,6
2026-02-01 11:00;2,166;2025-02-01 11:00;2,721;−5,1;1,4
2026-02-01 12:00;4,01;2025-02-01 12:00;1,266;−5,3;1,6
2026-02-01 13:00;3,688;2025-02-01 13:00;1,959;−5,5;1,5
2026-02-01 14:00;3,169;2025-02-01 14:00;2,516;−5,9;1,5
2026-02-01 15:00;2,823;2025-02-01 15:00;3,194;−6,2;1,4
2026-02-01 16:00;4,999;2025-02-01 16:00;3,437;−5,8;1,2
2026-02-01 17:00;4,26;2025-02-01 17:00;2,161;−5,5;1
